text,location,retweets,user_id,created_at
Ben Carson Busts Out a History Lesson on Live TV When Asked About Republicans and the Poor https://t.co/5ynmsNlCvp via @injo,East Coast,0,710080736,Thu Feb 18 23:59:54 +0000 2016
"Do you think Ben Carson will win the #SCprimary?
https://t.co/TzM61tETWQ",IN's 3rd District,0,38431540,Thu Feb 18 23:59:02 +0000 2016
Ben Carson compares critics' attacks to masters trying to divide slaves https://t.co/SmTTxhfRc8 #usnews,"Washington, D.C.",0,2882688993,Thu Feb 18 23:58:57 +0000 2016
Ben Carson https://t.co/I4NQGNq7Yy,OSU,0,369863376,Thu Feb 18 23:57:59 +0000 2016
"Can America Rise Again? Yes! With Ben Carson at the helm! Vote for integrity,values.Accountable2all, beholden2none! https://t.co/BgXDHZbASg",united states,0,384700571,Thu Feb 18 23:57:16 +0000 2016
"Dr. Ben Carson Just DESTROYED Obama, Gives History Lesson Of Republicans  https://t.co/bXwz9SoVVf it's 'bout time 4 the gop 2 call out libs!","west chicago, illinois",0,2363388289,Thu Feb 18 23:57:01 +0000 2016
VIDEO: Dr. Ben Carson holds town hall at S.C. State: Dr. Ben Carson encourages students at S.C. State to resis... https://t.co/8P6I0mQrVb,"Orangeburg, S.C.",0,20941458,Thu Feb 18 23:56:37 +0000 2016
Ben Carson uses Justice Scalia's death for a campaign ad https://t.co/O5pqAReVLf via motherjones,,0,45946411,Thu Feb 18 23:56:33 +0000 2016
Trump's supporters all think that nice articulate black man in the ad is Ben Carson.,Florida,0,14194433,Thu Feb 18 23:56:05 +0000 2016
I want to watch Ben Carson do brain surgery,#00 #rwac,0,779220212,Thu Feb 18 23:55:36 +0000 2016
"@MotherJones Ben Carson lied about stabbing a friend, and thinks the pyramids were for storing grain so...","Connecticut, USA",0,838674816,Thu Feb 18 23:55:22 +0000 2016
@donna_geoff @RealBenCarson As much as I like Ben Carson and have not one bad word to say about him. I just don't think he is POTUS Material,,0,3321777673,Thu Feb 18 23:55:15 +0000 2016
Ben Carson uses Justice Scalia's death for a campaign ad https://t.co/3aIJq5p0H3 via @motherjones,,0,4899958514,Thu Feb 18 23:54:35 +0000 2016
We the People” — not the government. #stoprush lost #uniteblue  https://t.co/nGLosk1nIC,,2,950498635,Thu Feb 18 23:53:41 +0000 2016
"@DjcurtC I'd say Dak because that's who you're referring to 1st off, but Carson Wentz from North Dakota St is the next Big Ben",Cincinnati - ?,0,23239918,Thu Feb 18 23:53:29 +0000 2016
